aroma,body,flavor,roast_level,origin,est_price,rating
9.0,9.0,9.0,Medium,"Kona, Hawai’i Island, Hawai‘i",$25.00/4 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",$21.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Ka‘ū growing district, Hawai’i Island, Hawai’i",$25.00/4 ounces,94.0
9.0,9.0,10.0,Medium-Light,"Guji growing region, south-central Ethiopia",$27.00/12 ounces,96.0
10.0,9.0,10.0,Light,"Hōlualoa, North Kona, Kona growing region, Hawai’i Island, Hawai'i",$50.00/4 ounces,97.0
9.0,9.0,9.0,Light,Kenya,$24.00/10.9 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Pujchen Mumuntik, Chamula, Chiapas, Mexico",$23.00/10.9 ounces,93.0
9.0,9.0,9.0,Light,"Buenos Aires de Puntarenas, Costa Rica",$150/4 ounces,94.0
9.0,9.0,9.0,Light,"Mountain View, Puna District, Hawai’i Island, Hawai’i",$50.00/4 ounces,95.0
9.0,8.0,9.0,Medium-Light,"Gedeb District, Gedeo Zone, Ethiopia",$26.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Boquete, Panama",$16.95/12 ounces,93.0
9.0,9.0,9.0,Light,"Gedeb, Yirgacheffe growing region, south-central Ethiopia",$28.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Bruselas, Huila Department, Colombia",$26.00/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Muranga’a, Embu County, Kenya",$28.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Cumbitara, Nariño Department, Colombia",$26.00/8 ounces,94.0
9.0,9.0,9.0,Light,"Deri Kidame, Hambella Wamena, West Guji, Ethiopia",$24.00/10.9 ounces,94.0
9.0,9.0,9.0,Light,"Ka‘ū growing district, Hawai’i Island, Hawai’i",$22.50/4 ounces,95.0
9.0,9.0,9.0,Medium-Light,Not disclosed,$21.00/10.9 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Chicoj, Cobán growing region, central Guatemala",$20.00/12 ounces,93.0
8.0,9.0,9.0,Medium,Brazil; Haiti,$15.29/12 ounces,92.0
8.0,9.0,9.0,Medium-Light,Brazil,$15.29/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,Brazil; Haiti,$15.29/12 ounces,93.0
8.0,8.0,8.0,Light,"Doi Chang, Chiang Rai Province, Thailand",$7.00/250 grams,90.0
8.0,8.0,9.0,Light,"Mae Hong Son Province, northern Thailand",$7.00/250 grams,91.0
9.0,9.0,8.0,Medium-Light,"Doi Chang, Chiang Rai Province, Thailand",$7.00/250 grams,91.0
9.0,8.0,9.0,Medium-Light,"Doi Chang, Chiang Rai Province, Thailand",$6.00/250 grams,92.0
8.0,8.0,9.0,Light,"Doi Chang, Chiang Rai Province, Thailand",$7.00/250 grams,92.0
9.0,8.0,9.0,Medium-Light,"Santiago Chimaltenango, Huehuetenango Department, Guatemala",$28.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Doi Chang, Chiang Rai Province, Thailand",$12.00/250 grams,93.0
9.0,9.0,9.0,Light,"Odo Shakiso District, Guji Zone, southern Ethiopia",$28.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Gedeo Zone, SNNPR, southern Ethiopia",$25.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",$26.00/8 ounces,94.0
9.0,8.0,9.0,Medium-Light,"Cauca Department, Colombia",$24.00/10.9 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Nariño Department, Colombia",$28.00/12 ounces,93.0
8.0,9.0,8.0,Medium,"Cerrado, Minas Gerais State, Brazil",$14.99/12 ounces,90.0
9.0,8.0,9.0,Medium-Light,"Sidamo growing region, southern Ethiopia",$14.99/12 ounces,91.0
9.0,9.0,9.0,Medium-Light,"Acatenango, Chimaltenango Department, Guatemala",NT $260/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Santa Barbara Department, Honduras",NT $600/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Santa Barbara Department, Honduras",NT $580/4 ounces,95.0
9.0,10.0,9.0,Light,"La Libertad, Huehuetenango Department, Guatemala",NT $300/20 grams,96.0
9.0,9.0,9.0,Medium-Light,"Sabanilla de Alajuela growing region, Costa Rica",$30.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Sabanilla de Alajuela growing region, Central Valley, Costa Rica",$25.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Kona growing district, Hawai’i Island, Hawai’i",$26.00/4 ounces,94.0
8.0,9.0,9.0,Light,"Ka‘ū growing district, Big Island of Hawai’i",$39.00/10 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Ka‘ū growing district, Big Island of Hawai’i",$36.00/10 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Huila, Tolima and Caldas Departments, Colombia",$16.95/8 ounces,93.0
8.0,8.0,9.0,Medium,"Siltepec, Chiapas State, Mexico",$27.70/12 ounces,90.0
8.0,8.0,8.0,Medium,"Siltepec, Chiapas State, Mexico",$27.00/12 ounces,90.0
9.0,9.0,9.0,Light,"Holualoa, North Kona District, Hawai’i Island, Hawai’i",$250.00/4 ounces,95.0
9.0,8.0,9.0,Medium-Light,"La Concordia, Chiapas, Mexico",$19.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$21.00/12 ounces,94.0
8.0,8.0,8.0,Medium-Light,"Pitcairn Island, United Kingdom",$218.00/125 grams,90.0
9.0,9.0,9.0,Medium-Light,Costa Rica; Ethiopia,$20.00/12 ounces,94.0
9.0,8.0,9.0,Medium-Dark,Ethiopia; Mexico; Indonesia,$16.99/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$22.00/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Huila Department, Colombia",$20.00/12 ounces,92.0
9.0,9.0,9.0,Light,"Chiriqui, Panama",$79.50/5 ounces,95.0
8.0,9.0,9.0,Medium-Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$31.00/12 ounces,91.0
9.0,8.0,9.0,Medium-Light,"Mt. Elgon, Bungoma County, Kenya",$29.00/10 ounces,93.0
9.0,9.0,9.0,Light,"El Bálsamo, Quetzaltepec growing region, El Salvador",$29.00/10 ounces,93.0
8.0,8.0,8.0,Medium-Light,"Alishan Township, Chia-Yi County, Taiwan","NT $1,100/227 grams",90.0
8.0,9.0,9.0,Light,"Guji growing region, south-central Ethiopia",NT $520/225 grams,92.0
8.0,8.0,9.0,Medium-Light,"Kona growing region, Hawai’i Island, Hawai’i",$47.00/8 ounces,90.0
9.0,8.0,9.0,Medium-Light,"Jiwaka and Western Highlands Provinces, Papua New Guinea",$25.00/6 ounces,92.0
9.0,9.0,10.0,Medium-Light,"La Libertad, Huehuetenango Department, Guatemala",NT $4569/8 ounces,97.0
9.0,9.0,9.0,Medium-Light,"Hoja Blanca, Huehuetenango Department, Guatemala",$24.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Odo Shakiso District, Guji Zone, southern Ethiopia",$26.00/12 ounces,94.0
