aroma,body,flavor,roast_level,origin,est_price,rating
9.0,9.0,9.0,Light,"Kabare, South Kivu, Democratic Republic of the Congo",$19.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Pegasing, Takengon, Aceh Province, Sumatra, Indonesia",$22.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Hoja Blanca, Huehuetenango, Guatemala",$24.00/12 ounces,94.0
8.0,8.0,8.0,Light,"Nyeri growing region, south-central Kenya",NT 350/227 grams,90.0
8.0,8.0,8.0,Medium-Light,"Trifinio growing region, El Salvador",$13.99/12 ounces,90.0
8.0,8.0,8.0,Medium-Light,Colombia; Brazil; Nicaragua; Mexico,NT 169/8 ounces,91.0
8.0,8.0,9.0,Medium,Ethiopia; Colombia; Brazil,NT 159/8 ounces,91.0
9.0,8.0,8.0,Medium-Light,Guatemala; Colombia; Brazil,NT 159/8 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Cajamarca, Peru",NT 400/8 ounces,93.0
9.0,9.0,9.0,Light,"Wenago district, Gedeo Zone, SNNPR, Ethiopia",$24.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Vereda El Hoga, Risaralda, Colombia",$32.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Ka‘ū growing region, “Big Island” of Hawai’i",$29.00/4 ounces,95.0
9.0,9.0,10.0,Light,"Boquete, Panama",$250/4 ounces,96.0
10.0,9.0,10.0,Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$69.95/8 ounces,97.0
8.0,9.0,9.0,Medium,Colombia; Costa Rica,$18.00/16 ounces,91.0
8.0,8.0,8.0,Medium,Not disclosed,$18.00/12 ounces,90.0
8.0,8.0,8.0,Medium-Light,Colombia,$18.00/16 ounces,91.0
8.0,8.0,9.0,Medium,Brazil; Guatemala,$17.00/12 ounces,91.0
,9.0,9.0,Light,Colombia; Costa Rica; Honduras; Sumatra,$18.00/16 ounces,92.0
9.0,8.0,9.0,Light,"Marcala, Honduras",$18.50/16 ounces,92.0
8.0,9.0,8.0,Medium,Colombia; Costa Rica; Honduras,$18.00/16 ounces,92.0
9.0,8.0,9.0,Medium-Light,Not disclosed,$18.00/12 ounces,92.0
9.0,9.0,9.0,Light,"Pantan Musara, Pegasing, Sumatra, Indonesia",$20.00/16 ounces,93.0
9.0,8.0,9.0,Light,"San Jose, Costa Rica",$18.50/16 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",$18.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Holualoa, Kona, Big Island of Hawai’i",$59.00/10 ounces,95.0
9.0,8.0,9.0,Light,"Sama, Ana Sora District, Oromia Region, Ethiopia",$23.50/12 ounces,93.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",$23.00/12 ounces,95.0
9.0,8.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",$16.99/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Alto Huguerón, Pitalito, Huila, Colombia",$23.00/12 ounces,92.0
8.0,8.0,9.0,Light,"Nariño Department, Colombia",$18.00/12 ounces,92.0
9.0,9.0,9.0,Light,"Kalehe, South Kivu growing region, Democratic Republic of Congo",$19.00/12 ounces,93.0
9.0,8.0,8.0,Medium,Guatemala; Colombia; Ethiopia,$40.00/8 ounces,94.0
9.0,9.0,9.0,Light,Ethiopia,NT 600/227 grams,92.0
9.0,9.0,9.0,Medium-Light,"Manizales, Caldas, Colombia",$10.00/4 ounces (sold only as a two-pack),94.0
9.0,9.0,9.0,Light,"Manizales, Caldas, Colombia",$10.00/4 ounces (sold only as a two-pack),95.0
9.0,8.0,9.0,Medium-Light,“Big Island” of Hawai’i; Maui; O’ahu,$37.75/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,Honduras; Maui,$15.00/8 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Kona growing district, “Big Island” of Hawai’i",$58.00/16 ounces,92.0
9.0,9.0,9.0,Medium-Light,"San José de Minas, Pichincha Province, Ecuador",$42.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Ka‘ū growing region, “Big Island” of Hawai’i",$39.20/10 ounces,93.0
9.0,9.0,9.0,Medium-Light,"North Kona growing district, “Big Island” of Hawai’i",$38.00/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$28.00/8 ounces,93.0
9.0,9.0,9.0,Light,"Nakuru County, Kenya",NT$325/8 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT$300/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Tarrazu, Costa Rica",NT$270/4 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Oxapampa, Pasco, Peru",NT$250/8 ounces,94.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT$325/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",NT$325/8 ounces,95.0
9.0,9.0,10.0,Light,"Piendamo, Cauca Department, Colombia",$27.00/8 ounces,96.0
9.0,8.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",NT$450/454 grams,93.0
8.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, Southern Ethiopia",NT$750/454 grams,93.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",NT$760/227 grams,93.0
9.0,9.0,9.0,Light,"Bench-Maji Zone, Southern Ethiopia",NT$420/227 grams,93.0
9.0,9.0,9.0,Medium-Light,"El Jardin, Pitalito, Huila Department, Colombia",NT$650/227 grams,94.0
9.0,9.0,9.0,Medium-Light,"Embu County, Kenya",NT$240/227 grams,94.0
9.0,9.0,9.0,Medium-Light,"Nariño Department, Colombia",NT$710/227 grams,94.0
9.0,9.0,9.0,Light,"Bombe Village, Bensa District, Sidamo growing region, Ethiopia",NT$200/8 ounces,94.0
9.0,9.0,9.0,Light,"Bruselas, Pitalito, Huila Department, Colombia",NT$780/227 grams,95.0
9.0,8.0,9.0,Medium-Light,Ethiopia; Guatemala,NT$ 290/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Tarrazu, Costa Rica",$18.00/8 ounces,94.0
9.0,9.0,9.0,Light,"Santa Barbara, Antioquia, Colombia",$40.00/12 ounces,94.0
8.0,9.0,9.0,Medium-Light,"Wenago district, Gedeo Zone, SNNPR, Ethiopia",$18.00/250 grams,92.0
9.0,8.0,9.0,Medium-Light,"Embu County, Kenya",$18.50/250 grams,93.0
8.0,8.0,8.0,Light,"San Adolfo, Huila Department, Colombia",NT $700/200 grams,90.0
8.0,8.0,9.0,Light,"Bench-Maji Zone, Southern Ethiopia",NT$ 650/200 grams,91.0
8.0,9.0,9.0,Light,Not disclosed,NT$ 450/200 grams,92.0
9.0,9.0,9.0,Light,Ethiopia; Colombia,NT$ 366/8 ounces,94.0
8.0,8.0,9.0,Light,Not disclosed,$18.00/12 ounces,91.0
8.0,9.0,9.0,Medium-Light,"Tangara, Ngozi,  Burundi",$21.00/12 ounces,92.0
8.0,9.0,9.0,Light,Not disclosed,$18.00/12 ounces,93.0
9.0,9.0,8.0,Light,"Central Valley, Costa Rica",NT$ 320/8 ounces,91.0
8.0,8.0,9.0,Light,"Brunca Region, Costa Rica",NT$ 380/200 grams,91.0
9.0,8.0,9.0,Medium-Light,"Cajamarca, Peru",$19.00/12 ounces,92.0
9.0,8.0,9.0,Light,"Boquete growing region, western Panama",NT$650/8 ounces,92.0
9.0,9.0,9.0,Light,"Alajuela, Central Valley, Costa Rica",NT$ 470/225 grams,93.0
9.0,9.0,9.0,Medium-Light,"Alajuela, Central Valley, Costa Rica",$23.50/12 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Kirinyaga County, south-central Kenya",$21.00/12 ounces,93.0
8.0,8.0,8.0,Medium-Light,Brazil; Colombia; Sumatra,CNY 150/250 grams,90.0
9.0,8.0,9.0,Medium-Light,Ethiopia; Rwanda,CNY 160/250 grams,92.0
8.0,9.0,9.0,Medium-Light,"Cajamarca, Peru",GBP 13.50/250 grams,91.0
9.0,8.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",GBP 14.50/250 grams,93.0
9.0,9.0,9.0,Light,"Kona growing region, Big Island of Hawai’i",$100.00/4 ounces,95.0
9.0,9.0,9.0,Medium-Light,Costa Rica; Ethiopia,$22.00/12 ounces,94.0
8.0,9.0,9.0,Medium-Light,"Ethiopia, Colombia, Costa Rica",NT$ 450/200 grams,91.0
9.0,8.0,9.0,Light,"Tarrazu, Costa Rica",NT$ 499/200 grams,93.0
8.0,8.0,9.0,Medium-Light,Colombia; Guatemala,$17.00/12 ounces,91.0
9.0,9.0,9.0,Medium-Light,"Los Robles de Naranjo, West Valley, Costa Rica",$22.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, Southern Ethiopia",NT$ 550/227 grams,94.0
9.0,8.0,9.0,Light,"Inza, Cauca Department, Colombia",$19.00/12 ounces,92.0
9.0,8.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",$23.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"El Bálsamo Quetzaltepec growing region, El Salvador",$20.00/12 ounces,94.0
10.0,9.0,10.0,Medium-Light,"Paso Ancho, Panama","NT$ 2,500/20 grams",98.0
9.0,9.0,9.0,Medium,Colombia; Costa Rica; Kenya; Ethiopia,NT$ 650/8 ounces,94.0
9.0,9.0,9.0,Light,"San Adolfo, Huila Department, Colombia",$19.00/100 grams,93.0
9.0,8.0,9.0,Light,"San Adolfo, Huila Department, Colombia",$15.00/100 grams,93.0
9.0,9.0,9.0,Light,"Poás Volcano, Alajuela, Costa Rica",$59.00/8 ounces,94.0
9.0,8.0,9.0,Medium-Light,"Waghi Valley, Western Highlands, Papua New Guinea",$14.00/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"San Salvador Volcano, El Salvador",$16.00/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Bujumbura Rurale, Burundi",$16.00/12 ounces,93.0
8.0,8.0,8.0,Light,"Sidamo growing region, south-central Ethiopia",NT$ 459/8 ounces,90.0
8.0,9.0,9.0,Medium-Light,"Sidamo growing region, south-central Ethiopia",NT$ 449/8 ounces,91.0
9.0,8.0,9.0,Medium-Light,"Huila Department, Colombia",NT$ 539/8 ounces,94.0
8.0,8.0,9.0,Light,"Alajuela, Central Valley, Costa Rica",$22.00/12 ounces,91.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT$ 350/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Meru County, Kenya",$30.50/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Armenia, Quindio Department, Colombia",$33.00/8 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Sierra Madre, Chiapas State, Mexico",$18.25/12 ounces,92.0
8.0,9.0,9.0,Medium-Light,"Fraijanes growing region, Guatemala",$23.00/12 ounces,92.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",NT$ 520/8 ounces,95.0
9.0,8.0,9.0,Light,"Embu County, Kenya",$25.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Petatan, Huehuetenango, Guatemala",$23.00/12 ounces,93.0
9.0,8.0,9.0,Light,"Ka‘ū growing region, “Big Island” of Hawai’i",$48.00/10 ounces,93.0
9.0,9.0,9.0,Light,"Nyeri growing region, south-central Kenya",$26.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Odo Shakiso District, Guji Zone, southern Ethiopia",$24.00/12 ounces,95.0
9.0,9.0,9.0,Light,"Cajamarca, Peru",$29.00/12 ounces,95.0
9.0,9.0,10.0,Light,"Piendamo, Cauca Department, Colombia",$60.00/250 grams,96.0
9.0,9.0,9.0,Medium-Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$54.95/8 ounces,95.0
9.0,9.0,10.0,Medium-Light,"Huila Department, Colombia",$32.25/12 ounces,96.0
9.0,10.0,10.0,Medium-Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$69.95/8 ounces,97.0
8.0,9.0,9.0,Medium-Light,"Tarrazu, Costa Rica",$20.00/12 ounces,92.0
9.0,8.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",$22.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Poás Volcano, Alajuela, Costa Rica",$26.00/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Chirripó, Costa Rica",$20.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Chalatenango, El Salvador",$28.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Kirinyaga County, south-central Kenya",$26.00/12 ounces,95.0
8.0,9.0,9.0,Medium-Light,Ethiopia; Colombia; Brazil,$13.00/8 ounces,92.0
9.0,8.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $550/227 grams,93.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Guatemala,$15.00/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,Kenya; Ethiopia; Guatemala,$17.00/6 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Werka, Refisa Kebele, Nensebo District, West Arsi, Oromia, southern Ethiopia",$19.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Acevedo, Huila Department, Colombia",$29.95/12 ounces,94.0
9.0,8.0,9.0,Medium-Light,"Santa Maria de Dota, Tarrazu, Costa Rica",$24.00/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"Huila Department, Colombia",NT $650/200 grams,92.0
9.0,8.0,9.0,Medium-Light,"Tarrazu, Costa Rica",NT $750/8 ounces,92.0
9.0,9.0,8.0,Light,"Fraijanes Department, Guatemala",$11.00/8 ounces,92.0
9.0,9.0,9.0,Light,"Acevedo, Colombia",$28.00/12 ounces,93.0
9.0,9.0,9.0,,"Huila Department, Colombia",NT $600/227 grams,93.0
9.0,9.0,9.0,Light,"Tolima growing region, Colombia",$14.50/100 grams,93.0
8.0,8.0,9.0,Medium-Light,Ethiopia; China,$22.00/250 grams,90.0
9.0,8.0,9.0,Medium-Light,Colombia; China,$21.00/250 grams,92.0
8.0,8.0,8.0,Medium-Light,Honduras; Ethiopia; Brazil,NT $205/8 ounces,90.0
9.0,8.0,9.0,Medium-Light,Ethiopia; Nicaragua; Tanzania,NT $250/200 grams,92.0
9.0,9.0,9.0,Medium-Light,"Yirgacheffe growing region, south-central Ethiopia",NT $500/200 grams,93.0
9.0,8.0,9.0,Light,"Hualien, Taiwan","NT $1,000/200 grams",93.0
9.0,9.0,9.0,Medium-Light,"Hualien, Taiwan","NT $1,000/200 grams",93.0
9.0,9.0,10.0,Light,"Machakos County, Kenya",NT $409/8 ounces,96.0
8.0,8.0,9.0,Light,"Bench Maji Zone, SNNPR Region, Ethiopia",NT $350/8 ounces,90.0
9.0,8.0,9.0,Medium-Light,"Quindio Department, Colombia",NT $420/8 ounces,92.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $250/8 ounces,93.0
9.0,9.0,9.0,Light,"Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",NT $450/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Aqua Dulce, Cuilco, Huehuetenango, Guatemala",NT $750/4 ounces,95.0
8.0,8.0,8.0,Medium-Light,"Karnataka, India",$25.40/12 ounces,90.0
8.0,8.0,9.0,Medium-Light,Ethiopia; Brazil; Mexico; Papua New Guinea,$18.00/12 ounces,91.0
9.0,8.0,9.0,Medium-Light,"Acatenango, Guatemala",$20.00/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",NT $350/200 grams,93.0
9.0,8.0,9.0,Medium-Light,"Quilanga, Loja Province, Ecuador",NT $698/100 grams,91.0
8.0,8.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",NT $399/8 ounces,92.0
9.0,9.0,9.0,Light,"Chelchele, Gedeb District, Gedeo Zone, Ethiopia",NT $419/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Piendamo, Cauca Department, Colombia",$35.00/8 ounces,94.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",$35.00/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Piendamo, Cauca Department, Colombia",$38.00/8 ounces,95.0
9.0,9.0,10.0,Medium-Light,"Piendamo, Cauca Department, Colombia",$58.00/8 ounces,96.0
9.0,8.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",NT $360/200 grams,93.0
9.0,8.0,9.0,Medium-Light,"Sidamo growing region, southern Ethiopia",NT $300/8 ounces,93.0
9.0,8.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",NT $379/8 ounces,91.0
9.0,9.0,9.0,Light,"Sidamo growing region, southern Ethiopia",NT $390/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Sidamo growing region, southern Ethiopia",NT $340/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Huehuetenango, Guatemala",NT $220/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $350/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Lintong growing region, North Sumatra, Indonesia",NT $260/8 ounces,95.0
9.0,9.0,9.0,Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $250/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Ka‘ū, Big Island of Hawaii",$25.00/4 ounces,94.0
9.0,9.0,9.0,Medium-Light,"La Argentina, Huila Department, Colombia",$53.00/8 ounces,95.0
9.0,9.0,9.0,Light,"Manizales, Caldas, Colombia",$24.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$23.00/12 ounces,96.0
9.0,9.0,9.0,Medium-Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$112.95/8 ounces,95.0
9.0,9.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",$22.00/12 ounces,96.0
8.0,8.0,9.0,Medium-Light,"San Cristobal, Chiapas, Mexico",$18.00/12 ounces,91.0
9.0,9.0,9.0,Medium-Light,"Paltachayoc, Santa Teresa, La Convención, Cusco, Peru",$18.00/12 ounces,93.0
9.0,8.0,9.0,Light,"Xojolá, Nahualá, Sololá, Guatemala",$20.00/12 ounces,93.0
9.0,9.0,9.0,Light,"San Marcos, Guatemala","NT $1,000/8 ounces",94.0
9.0,9.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",NT $500/8 ounces,95.0
9.0,9.0,9.0,Light,"Tenejapa, Chiapas, Mexico",$42.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Santa Bárbara, Antioquia, Colombia",$28.00/12 ounces,94.0
9.0,9.0,9.0,Light,"Paso Ancho, Panama","NT $12,500/100 grams",95.0
9.0,9.0,10.0,Medium-Light,"Embu County, Kenya",NT $550/200 grams,97.0
9.0,9.0,9.0,Light,"Bruselas, Pitalito, Huila Department, Colombia",$32.99/8 ounces,95.0
9.0,9.0,9.0,Light,"Quindio Department, Colombia",$31.00/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"El Carmen Cautivo, Tabaconas, Cajamarca, Peru",$19.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",$19.00/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Nyeri County, Central Province, Kenya",$22.00/12 ounces,95.0
8.0,8.0,9.0,Medium-Light,"Tarrazu growing region, Costa Rica",NT $800/230 grams,91.0
9.0,8.0,9.0,Medium-Light,"Vera Province, Huila Department, Colombia",NT $670/230 grams,93.0
9.0,8.0,9.0,Medium-Light,"Doi Chang, Chiang Rai Province, Thailand",$5.00/250 grams,93.0
8.0,9.0,9.0,Medium-Light,"Cubulco, Guatemala",$22.00/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, Southern Ethiopia",$12.00/8 ounces,94.0
9.0,8.0,9.0,Medium-Light,Kenya; Costa Rica,$23.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Rivas District, Chirripo Region, Costa Rica",$20.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Cauca Department, Colombia",NT $520/8 ounces,93.0
8.0,9.0,9.0,Light,"Antigua, Guatemala",NT $250/8 ounces,91.0
8.0,9.0,9.0,Medium-Light,"Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",NT $520/8 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",NT $390/8 ounces,93.0
8.0,8.0,8.0,Medium-Light,Ethiopia,$20.50/16 ounces,90.0
9.0,8.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",$23.00/12 ounces,93.0
8.0,9.0,9.0,Light,"Kebele, Buku Sayisa, Guji Zone, Oromia Region, southern Ethiopia",$24.00/12 ounces,92.0
9.0,8.0,9.0,Light,"Chelchele, Gedeb District, Gedeo Zone, Ethiopia",$24.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Phu Khaa, Nan Province, Thailand",$30.00/12 ounces,93.0
9.0,8.0,9.0,Light,"Sipi Falls, Bugisu Region, Uganda",NT $800/200 grams,93.0
8.0,8.0,9.0,Medium-Light,"Monte Verde, Santa Ana Department, central El Salvador",$16.00/12 ounces,92.0
8.0,9.0,9.0,Medium-Light,"Peru, Guatemala",$40.00/8 ounces,93.0
9.0,9.0,9.0,Medium-Light,Kenya; Ethiopia,$40.00/8 ounces,94.0
9.0,9.0,10.0,Medium-Light,"Piendamó, Cauca, Colombia",$25.00/8 ounces,96.0
9.0,8.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",NT $320/200 grams,93.0
9.0,8.0,9.0,Light,"Gedeb District, Gedeo Zone, southern Ethiopia",$20.00/12 ounces,93.0
9.0,8.0,9.0,Light,"Bruselas, Pitalito, Huila Department, Colombia",$30.00/12 ounces,92.0
8.0,9.0,9.0,Light,"Pitalito, Huila Department, Colombia",$24.00/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Sabanilla de Alajuela, Central Valley, Costa Rica",$17.00/12 ounces,93.0
9.0,8.0,9.0,Light,"San Agustín, Huila Department, Colombia",$22.65/100 grams,93.0
9.0,9.0,9.0,Medium-Light,"Tarrazú, Costa Rica",$22.00/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Chelchele, Gedeb District, Gedeo Zone, Ethiopia",NT $480/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Chelbessa, Gedeb, Yirgacheffe, south-central Ethiopia",$21.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Chiapas, Mexico",$22.00/12 ounces,93.0
9.0,9.0,9.0,Light,"Circasia, Quindio, Colombia",$33.45/12 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Kiambu County, Kenya",$20.95/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Nyeri growing region, south-central Kenya",$22.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",$69.95/8 ounces,95.0
9.0,8.0,9.0,Medium-Light,"Doi Chang, Chiang Rai Province, Thailand",$5.00/250 grams,92.0
9.0,9.0,9.0,Medium-Light,"Doi Chang, Chiang Rai Province, Thailand",$10.00/250 grams,92.0
9.0,9.0,9.0,Medium-Light,"La Libertad, Huehuetenango Department, Guatemala",$20.00/6 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Huila Department, Colombia",$28.00/10 ounces,95.0
8.0,8.0,9.0,Medium,"Western Highlands, Papua New Guinea",NT $380/230 grams,91.0
9.0,9.0,9.0,Medium-Light,"Acatenango, Chimaltenango, Guatemala",NT $280/8 ounces,93.0
9.0,9.0,9.0,Light,"Huila Department, Colombia",NT $290/4 ounces,95.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Guatemala,NT $325/8 ounces,95.0
9.0,9.0,9.0,Medium-Light,Ethiopia; Kenya; Brazil,NT $440/454 grams,93.0
9.0,8.0,9.0,Medium-Light,"Carmo de Mata, Campo das Vertentes, Minas Gerais, Brazil",$16.50/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"Ka‘ū and Kona growing regions, Big Island of Hawai’i",$20.00/4 ounces,94.0
8.0,8.0,9.0,Medium-Light,Guatemala; Indonesia; Ethiopia,NT $450/16 ounces,92.0
8.0,8.0,9.0,Medium-Light,"South Kivu, Democratic Republic of the Congo",$22.50/12 ounces,92.0
9.0,9.0,9.0,Light,"Tarrazu, Costa Rica",NT $330/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Corquin, Honduras",$22.00/12 ounces,93.0
6.0,6.0,7.0,Medium,Colombia,$16.64/24 ounces,82.0
7.0,7.0,7.0,Medium,Ethiopia,$9.99/12-ounce can,83.0
7.0,7.0,7.0,Medium-Light,Colombia,$11.99/12 ounces,85.0
7.0,8.0,8.0,Medium-Light,"Aceh Province, Gayo Highlands, Sumatra, Indonesia",$16.95/12 ounces,87.0
8.0,8.0,8.0,Medium-Light,"Sidamo growing region, south-central Ethiopia",$15.75/12 ounces,90.0
8.0,9.0,8.0,Medium-Light,"Todos Santos Cuchumatan, Huehuetenango, Guatemala",$23.00/12 ounces,91.0
8.0,8.0,8.0,Medium-Light,"Northern Province, Gakenke District, Ruli, Rwanda",$20.00/12 ounces,91.0
8.0,8.0,9.0,Medium-Light,"Cajamarca, Peru",$33.00/12 ounces,91.0
8.0,9.0,9.0,Medium-Light,"Aleta Wendo, Sidamo growing region, south-central Ethiopia",$21.00/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,"La Democracia, Huehuetenango, Guatemala",$30.00/12 ounces,92.0
9.0,9.0,9.0,Medium-Light,"La Democracia, Huehuetenango, Guatemala",$17.00/12 ounces,93.0
9.0,9.0,8.0,Light,"Bombe mountains, Sidamo Region, southern Ethiopia",NT $580/227 grams,92.0
9.0,9.0,9.0,Light,"Sidamo growing region, south-central Ethiopia",NT $250/227 grams,93.0
9.0,8.0,9.0,Medium-Light,"La Libertad, Huehuetenango Department, Guatemala",NT $780/227 grams,93.0
9.0,9.0,9.0,Medium-Light,"Sabanilla de Alajuela, Central Valley, Costa Rica",$28.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Bench-Maji Zone, Southern Ethiopia",NT $310/227 grams,94.0
9.0,9.0,9.0,Light,"Boquete growing region, Panama",NT $450/227 grams,95.0
9.0,9.0,9.0,Light,"Yirgacheffe growing region, south-central Ethiopia",$23.00/12 ounces,95.0
9.0,9.0,9.0,Medium-Light,"Gedeo Zone, SNNPR, southern Ethiopia",NT $290/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"Pichincha, Ecuador",$62.00/8 ounces,93.0
9.0,8.0,9.0,Medium-Light,"Santo Tomas, El Salvador",$17.50/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Guji Zone, Oromia Region, southern Ethiopia",NT $325/8 ounces,94.0
9.0,9.0,9.0,Medium-Light,"El Aguacatal, Hoja Blanca, Cuilco, Huehuetenango, Guatemala",$27.00/12 ounces,94.0
9.0,9.0,10.0,Medium-Light,"Kiambu growing region, south-central Kenya",NT $340/8 ounces,96.0
8.0,9.0,8.0,Medium,Colombia; Ethiopia; Brazil,NT $420/454 grams,90.0
8.0,9.0,9.0,Medium-Light,"El Faique, Piura Department, Peru",$18.00/12 ounces,92.0
9.0,8.0,9.0,Medium-Light,South and Central America; Africa,$18.00/12 ounces,93.0
9.0,9.0,9.0,Medium-Light,"Piendamó, Cauca Department, Colombia",$22.00/8 ounces,94.0
7.0,7.0,8.0,Medium-Light,"El Progreso, Guatemala",$17.00/12 ounces,85.0
